country_code,startups,total_funding,avg_funding
ALB,1,0.0,
ARE,66,648935250.0,12479524.038461538
ARG,149,266315666.0,1915940.0431654677
ARM,2,26812976.0,13406488.0
AUS,314,2598953424.0,9770501.593984962
AUT,103,496160911.0,6361037.320512821
AZE,3,372000.0,124000.0
BEL,149,1244564177.0,9151207.18382353
BGD,7,48098974.0,6871282.0
BGR,68,49352695.0,771135.859375
BHR,3,121269.0,60634.5
BHS,2,10100000.0,5050000.0
BLR,3,120000.0,40000.0
BMU,4,751666000.0,250555333.33333334
BRA,293,2033704915.0,9547910.399061034
BRN,1,0.0,
BWA,4,2271352.0,567838.0
CAN,1405,13914166746.0,11943490.769098712
CHE,222,3023008222.0,16429392.510869564
CHL,285,47032880.0,166783.26241134753
CHN,1239,35577204451.0,36009316.245951414
CIV,1,60000.0,60000.0
CMR,2,119561.0,59780.5
COL,35,49557171.0,1651905.7
CRI,6,537000.0,179000.0
CYM,11,152257857.0,15225785.7
CYP,12,45299481.0,5033275.666666667
CZE,51,285932845.0,7148321.125
DEU,968,8243664362.0,13147790.051036682
DNK,210,1143230382.0,8165931.3
DOM,3,1208264.0,604132.0
DZA,20,1216828.0,60841.4
ECU,2,80000.0,40000.0
EGY,23,430439796.0,28695986.4
ESP,549,3669192650.0,7941975.4329004325
EST,44,80345104.0,1912978.6666666667
FIN,194,1112773122.0,6251534.393258427
FRA,866,5195063568.0,6782067.321148825
GBR,2642,23498140161.0,10288152.434763573
GHA,11,1774615.0,253516.42857142858
GIB,2,19944912.0,9972456.0
GRC,31,24946898.0,831563.2666666667
GTM,4,941034.0,313678.0
HKG,126,1657666497.0,14540934.184210526
HRV,8,4463391.0,637627.2857142857
HUN,42,38321656.0,1236182.4516129033
IDN,52,332962185.0,11098739.5
IND,849,15011710743.0,23346361.964230172
IRL,306,2430365126.0,9530843.631372549
ISL,16,49215032.0,3281002.1333333333
ISR,682,6267079634.0,10427753.134775374
ITA,308,999735510.0,4097276.680327869
JAM,1,32000.0,32000.0
JEY,1,0.0,
JOR,20,26123364.0,1741557.6
JPN,284,2896595442.0,13793311.628571428
KEN,24,286115274.0,15058698.631578946
KHM,10,480000.0,240000.0
KOR,246,942420923.0,4323031.756880734
KWT,2,14050000.0,7025000.0
LAO,2,0.0,
LBN,13,6553000.0,595727.2727272727
LIE,1,7500000.0,7500000.0
LTU,31,91004404.0,3956713.217391304
LUX,22,609377519.0,30468875.95
LVA,12,12717402.0,1413044.6666666667
MAF,1,29220000.0,29220000.0
MAR,3,3200000.0,1600000.0
MCO,1,657000.0,657000.0
MDA,2,93400.0,46700.0
MEX,83,691587635.0,9345778.85135135
MKD,2,38484.0,38484.0
MLT,3,13257720.0,4419240.0
MMR,2,700000.0,350000.0
MOZ,1,0.0,
MUS,1,200000.0,200000.0
MYS,48,1218199061.0,29712172.219512194
NGA,29,275942400.0,13797120.0
NIC,2,3519200.0,1759600.0
NLD,307,4044212916.0,18810292.63255814
NOR,98,759973111.0,9156302.542168675
NPL,2,300000.0,150000.0
NZL,62,1084104260.0,20076004.814814813
OMN,1,10000.0,10000.0
PAK,18,9586000.0,798833.3333333334
PAN,5,5128000.0,1025600.0
PER,30,25464573.0,878088.724137931
PHL,32,303744287.0,12656011.958333334
POL,94,175630181.0,2310923.4342105263
PRT,69,108787578.0,2417501.7333333334
ROM,22,19007880.0,905137.1428571428
RUS,368,9429261790.0,27733122.911764707
SAU,7,54973465.0,9162244.166666666
SGP,299,1735455737.0,7291830.827731092
SLV,3,440000.0,146666.66666666666
SOM,1,2000000.0,2000000.0
SRB,10,5666244.0,629582.6666666666
SVK,15,10568501.0,960772.8181818182
SVN,11,5514303.0,501300.2727272727
SWE,315,2885796608.0,10727868.431226766
SYC,1,35000.0,35000.0
THA,38,69436635.0,2394366.724137931
TTO,1,150000.0,150000.0
TUN,3,3970000.0,1985000.0
TUR,124,721357193.0,7840839.054347826
TWN,41,823605389.0,26567915.774193548
TZA,7,13014000.0,2169000.0
UGA,10,3964000.0,495500.0
UKR,45,26346000.0,693315.7894736842
URY,12,12580000.0,1258000.0
USA,28793,464244849909.0,18966574.739919107
UZB,1,90000.0,90000.0
VNM,21,214920509.0,23880056.555555556
ZAF,52,646717001.0,17018868.44736842
ZWE,1,10000000.0,10000000.0
