market,startups,total_funding,avg_funding
 3D ,25,98325062.0,4916253.1
 3D Printing ,9,32454000.0,4056750.0
 3D Technology ,8,20645352.0,3440892.0
 Accounting ,18,311455618.0,19465976.125
 Ad Targeting ,13,179329558.0,13794581.384615384
 Advanced Materials ,2,0.0,
 Adventure Travel ,6,1481432.0,296286.4
 Advertising ,1064,12660664604.0,13806613.526717557
 Advertising Exchanges ,2,77420020.0,38710010.0
 Advertising Networks ,4,8200000.0,2733333.3333333335
 Advertising Platforms ,29,207860324.0,7698530.518518519
 Advice ,13,74719856.0,7471985.6
 Aerospace ,20,261718620.0,14539923.333333334
 Agriculture ,27,321350157.0,12359621.423076924
 Algorithms ,5,2151004.0,430200.8
 All Markets ,7,77901807.0,11128829.57142857
 All Students ,17,64767754.0,4982134.923076923
 Alternative Medicine ,2,7347000.0,3673500.0
 Alumni ,1,610000.0,610000.0
 Analytics ,617,7986746184.0,14762931.948243992
 Android ,91,282641104.0,3768548.053333333
 Angels ,2,1669247.0,834623.5
 Animal Feed ,2,7665000.0,3832500.0
 App Discovery ,1,1850000.0,1850000.0
 App Marketing ,27,237528444.0,9897018.5
 App Stores ,8,24317000.0,3473857.1428571427
 Application Performance Monitoring ,5,36019705.0,9004926.25
 Application Platforms ,20,58483879.0,4498759.923076923
 Apps ,252,550228161.0,2737453.537313433
 Architecture ,8,69260957.0,9894422.42857143
 Archiving ,3,26185543.0,8728514.333333334
 Art ,28,30118086.0,1254920.25
 Artificial Intelligence ,24,113404561.0,5154752.7727272725
 Artists Globally ,6,7609325.0,1902331.25
 Assisitive Technology ,2,1340000.0,670000.0
 Auctions ,26,171962632.0,7165109.666666667
 Audio ,20,193875300.0,11404429.411764706
 Augmented Reality ,12,9812934.0,892084.9090909091
 Auto ,6,14537092.0,2422848.6666666665
 Automated Kiosk ,1,375000.0,375000.0
 Automotive ,180,3651026190.0,26456711.52173913
 B2B ,46,164097229.0,3907076.880952381
 B2B Express Delivery ,1,105000000.0,105000000.0
 BPO Services ,2,0.0,
 Babies ,10,47518707.0,5279856.333333333
 Baby Accessories ,2,30566474.0,30566474.0
 Baby Boomers ,1,167000.0,167000.0
 Banking ,41,741357090.0,21181631.14285714
 Batteries ,9,652221313.0,72469034.77777778
 Beauty ,29,227657531.0,9106301.24
 Bicycles ,3,13725000.0,4575000.0
 Big Data ,151,1518631946.0,11084904.715328468
 Big Data Analytics ,49,512518760.0,12500457.56097561
 Billing ,12,155307955.0,15530795.5
 Bio-Pharm ,5,142028487.0,35507121.75
 Biofuels ,1,414800.0,414800.0
 Bioinformatics ,5,7488328.0,3744164.0
 Biomass Power Generation ,1,3000000.0,3000000.0
 Biometrics ,5,3949837.0,987459.25
 Biotechnology ,3688,73372948349.0,20838667.523146834
 Biotechnology and Semiconductor ,1,13486929.0,13486929.0
 Bitcoin ,54,216612282.0,4512755.875
 Blogging Platforms ,37,149618254.0,4274807.257142857
 Boating Industry ,2,1932000.0,966000.0
 Brand Marketing ,66,533729447.0,9202231.844827587
 Bridging Online and Offline ,4,2570000.0,642500.0
 Broadcasting ,14,622755551.0,47904273.15384615
 Brokers ,5,144996740.0,28999348.0
 Browser Extensions ,12,221640189.0,20149108.09090909
 Business Analytics ,12,129853999.0,11804909.0
 Business Development ,15,14663235.0,1221936.25
 Business Information Systems ,4,23278000.0,7759333.333333333
 Business Intelligence ,41,345461054.0,9596140.388888888
 Business Productivity ,9,22910000.0,2545555.5555555555
 Business Services ,74,1323999803.0,22440674.627118643
 CAD ,2,6823693.0,3411846.5
 CRM ,41,281903821.0,7830661.694444444
 Cable ,1,8704000.0,8704000.0
 Call Center Automation ,1,15000000.0,15000000.0
 Carbon ,3,5051842.0,2525921.0
 Career Management ,24,167208231.0,7600374.136363637
 Career Planning ,8,16849605.0,2808267.5
 Cars ,26,67122245.0,4195140.3125
 Casual Games ,2,1600000.0,800000.0
 Celebrity ,6,15805953.0,3161190.6
 Certification Test ,3,23600000.0,11800000.0
 Charity ,14,11105559.0,925463.25
 Charter Schools ,5,6885000.0,1377000.0
 Chat ,30,261906510.0,9700241.111111112
 Chemicals ,10,906694300.0,90669430.0
 China Internet ,1,3200000.0,3200000.0
 Civil Engineers ,1,5000000.0,5000000.0
 Classifieds ,14,178957201.0,14913100.083333334
 Clean Energy ,23,257398470.0,11699930.454545455
 Clean Technology ,1200,37619938855.0,35257674.653233364
 Clean Technology IT ,1,38817.0,38817.0
 Clinical Trials ,10,533477938.0,59275326.44444445
 Cloud Computing ,139,1432179330.0,11549833.306451613
 Cloud Data Services ,43,1929369727.0,50772887.55263158
 Cloud Infrastructure ,17,349802740.0,23320182.666666668
 Cloud Management ,25,463090633.0,19295443.041666668
 Cloud Security ,10,263761845.0,29306871.666666668
